country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target,reg_type,armed_forces_personnel_percent_of_labor_force,aged_15_64_labour_force_participation_rate_percent,exports_percent_of_gdp,investments_percent_of_gdp,hdi_human_development_index,gdppercapita_us_inflation_adjusted,total_gni_ppp_current_international,military_expenditure_percent_of_gdp,target_2y,target_6m
Albania,Europe,0,0,0,0,1,0,1,0,9.903487553,0,0,Parliamentary,1,1,4,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,2,2,0.666666687,2,1,5,0,0,4.6358,73.63,15.97883,13.67614,0.618,1197.58059,6793742414,3.19945,0,0
Albania,Europe,0,0,0,0,1,0,0,0,3.912023005,0,0.693147181,Parliamentary,1,1,4,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,2,2,0.666666687,2,1,5,0,0,4.6358,73.63,15.97883,13.67614,0.618,1197.58059,6793742414,3.19945,0,0
Albania,Europe,0,0,0,0,1,0,0,0,7.824046011,2.079441542,0,Parliamentary,2,1,3,1,1,1,0,0,0,140,0,0,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,3,2,0,3,2,5,0,0,4.71727,72.44,11.98369,18.89658,0.624,1305.00072,7385627999,2.54782,0,0
Albania,Europe,0,0,0,0,1,0,0,0,8.9226583,0,0,Parliamentary,4,1,0,1,1,1,0,0,0,140,0,1,0,7,7,0,0,0,0.665999985,0.25,0.70714283,0.868584812,0.495272309,0.132756129,5,2,0,5,4,5,0,0,5.07054,69.81,11.62033,18.06379,0.646,1633.55157,9647410189,1.37903,0,0
Albania,Europe,0,0,0,0,1,0,0,0,8.006367568,0,0,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,0,0,0,1,1,0,0,0,7.824046011,0,0.693147181,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,1,0,7.60090246,0,1.098612289,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,0,0,9.210340372,0,1.386294361,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,0,0,0,0,1,0,0,0,8.853665428,0,1.609437912,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,0,0,10.6454249,0,1.791759469,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,1,0,8.9226583,0,1.945910149,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,0,0,8.9226583,0,2.079441542,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,1,0,0,0,0,10.59663473,0,2.197224577,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,0,0,0,0,0,0,1,0,3.912023005,0,2.302585093,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,1,0,8.853665428,0,2.397895273,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,0,0
Albania,Europe,1,0,0,0,1,0,1,0,3.912023005,0,0,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,0,0
Albania,Europe,0,0,0,0,1,0,0,0,8.006367568,0,0.693147181,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,0,0
Albania,Europe,0,0,0,0,0,0,1,0,8.006367568,0,1.098612289,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,0,0
Albania,Europe,1,0,0,0,1,0,0,0,6.907755279,0,0,Parliamentary,1,1,1,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,9,2,0.25,3,1,5,0,0,5.17839,68.59,20.11529,30.79626,0.671,1960.88195,12284740510,1.24636,0,0
Albania,Europe,0,0,0,0,1,0,0,0,9.210340372,3.465735903,0,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,0,0
Albania,Europe,0,0,0,0,1,0,0,0,6.907755279,0,0.693147181,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,0,0
Albania,Europe,0,0,0,0,1,0,0,0,5.298317367,2.63905733,1.098612289,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,0,0
Albania,Europe,0,0,0,0,1,0,0,0,6.907755279,0,1.386294361,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,0,0
Albania,Europe,0,0,0,0,1,0,0,0,6.907755279,0,1.609437912,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,0,0
