country,region,protesterviolence,startdate,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,year_scode,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target,reg_type,armed_forces_personnel_percent_of_labor_force,aged_15_64_labour_force_participation_rate_percent,exports_percent_of_gdp,investments_percent_of_gdp,hdi_human_development_index,gdppercapita_us_inflation_adjusted,total_gni_ppp_current_international,military_expenditure_percent_of_gdp,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
Albania,Europe,1,1997.194064,0,0,0,1,0,0,0,1997_ALB,8.9226583,0,2.079441542,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,1,1997.196804,0,0,1,0,0,0,0,1997_ALB,10.59663473,0,2.197224577,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,0,1997.215982,0,0,0,0,0,1,0,1997_ALB,3.912023005,0,2.302585093,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,1,1997.221461,0,0,0,1,0,1,0,1997_ALB,8.853665428,0,2.397895273,Parliamentary,5,1,0,1,1,1,0,0,0,140,0,1,0,6,7,0,0,0,0.615699997,0.293800011,0.892857134,0.953152001,0.236074001,0.047225807,6,2,0.333333343,6,1,5,0,0,4.99284,71.3,10.19713,16.65951,0.645,1464.29758,8746584603,1.28308,1,1,1,1,1,1,6,0,6,1,2,0,0,1,1,1,1
Albania,Europe,1,1998.785616,0,0,0,1,0,1,0,1998_ALB,3.912023005,0,0,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,1998.791096,0,0,0,1,0,0,0,1998_ALB,8.006367568,0,0.693147181,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,1998.802055,0,0,0,0,0,1,0,1998_ALB,8.006367568,0,1.098612289,Parliamentary,1,1,3,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,7,2,1,1,1,5,0,0,5.0545,70.49,11.46717,19.7426,0.655,1603.64723,9735495200,1.23824,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2000.996119,0,0,0,1,0,0,0,2000_ALB,6.907755279,0,0,Parliamentary,1,1,1,1,1,1,0,0,0,153,0,0,0,7,7,0,0,0,0.580999985,0.28,0.758169949,0.764380217,0.52745527,0.237668663,9,2,0.25,3,1,5,0,0,5.17839,68.59,20.11529,30.79626,0.671,1960.88195,12284740510,1.24636,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.332192,0,0,0,1,0,0,0,2010_ALB,9.210340372,3.465735903,0,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.419406,0,0,0,1,0,0,0,2010_ALB,6.907755279,0,0.693147181,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.419406,0,0,0,1,0,0,0,2010_ALB,5.298317367,2.63905733,1.098612289,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.441324,0,0,0,1,0,0,0,2010_ALB,6.907755279,0,1.386294361,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.457763,0,0,0,1,0,0,0,2010_ALB,6.907755279,0,1.609437912,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2010.9879,0,0,0,1,0,0,0,2010_ALB,3.912023005,0,1.791759469,Parliamentary,5,1,3,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,19,2,0.5,5,1,7,0,1,1.18252,62.14,27.97944,30.30867,0.745,3577.11339,27768446182,1.55859,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2011.140868,0,0,0,1,0,0,0,2011_ALB,11.51292546,0,0,Parliamentary,6,1,2,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,20,2,0,6,2,7,0,1,1.07863,68.19,29.24154,31.41358,0.764,3678.04674,29663237891,1.52827,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2011.160046,0,0,0,1,0,0,0,2011_ALB,9.210340372,0,0.693147181,Parliamentary,6,1,2,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,20,2,0,6,2,7,0,1,1.07863,68.19,29.24154,31.41358,0.764,3678.04674,29663237891,1.52827,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2011.218721,0,0,0,1,0,0,0,2011_ALB,10.30895266,0,1.098612289,Parliamentary,6,1,2,1,1,1,0,0,0,140,0,0,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,20,2,0,6,2,7,0,1,1.07863,68.19,29.24154,31.41358,0.764,3678.04674,29663237891,1.52827,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2013.140868,0,0,0,1,0,0,0,2013_ALB,8.006367568,0,0,Parliamentary,8,1,0,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,22,2,0,8,4,7,0,1,0.69886,60.52,28.91632,28.0525,0.782,3780.6982,31131659916,1.40898,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
Albania,Europe,0,2013.935845,0,0,0,1,0,0,0,2013_ALB,5.703782475,0,0.693147181,Parliamentary,8,1,0,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,22,2,0,8,4,7,0,1,0.69886,60.52,28.91632,28.0525,0.782,3780.6982,31131659916,1.40898,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
Albania,Europe,0,2013.955023,0,0,0,1,0,0,0,2013_ALB,6.907755279,0.693147181,1.098612289,Parliamentary,8,1,0,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.603899994,0.420399971,0.541666687,0.765614688,0.575563312,0.237429231,22,2,0,8,4,7,0,1,0.69886,60.52,28.91632,28.0525,0.782,3780.6982,31131659916,1.40898,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
Albania,Europe,0,2017.452283,0,0,0,1,0,0,0,2017_ALB,8.160232492,0,0,Parliamentary,4,1,0,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.532000008,0.360999985,0.600000024,0.653911591,0.645426452,0.350258172,26,3,0,8,4,7,0,1,0.65811,65.82,31.56981,25.05255,0.79,4249.80373,36786422672,1.1087,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2018.049315,0,0,0,1,0,0,0,2017_ALB,8.006367568,0,0.693147181,Parliamentary,4,1,0,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.532000008,0.360999985,0.600000024,0.653911591,0.645426452,0.350258172,26,3,0,8,4,7,0,1,0.65811,65.82,31.56981,25.05255,0.79,4249.80373,36786422672,1.1087,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2018.347032,0,0,0,1,1,0,0,2018_ALB,6.308098442,0,0,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,1,2018.4879,0,0,0,0,0,1,0,2018_ALB,9.210340372,0,0.693147181,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2018.976941,0,1,0,0,0,0,0,2018_ALB,6.308098442,0,1.098612289,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
Albania,Europe,0,2019.010959,0,0,0,0,1,0,0,2018_ALB,8.160232492,0,1.386294361,Parliamentary,1,1,3,1,1,1,0,0,0,140,0,1,0,7,7,2,1,0,0.545,0.431300011,0.557142854,0.901709378,0.61171639,0.0995671,27,4,0.75,5,1,7,0,1,0.64315,68.32,31.57193,23.91018,0.792,4431.53918,38643606580,1.16127,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
