,country,region,protesterviolence,demand_labor-wage-dispute,demand_land-farm-issue,demand_police-brutality,demand_political-behavior/process,demand_price-increases/tax-policy,demand_removal-of-politician,demand_social-restrictions,participants_log,duration_days_log,protestnumber_log,system,yrsoffc,finittrm,yrcurnt,termlimit,reelect,multpl,military,defmin,execnat,execrel,totalseats,oppmajh,legelec,exelec,liec,eiec,gq,gqi,auton,numvote,oppvote,maj,herfgov,frac,govfrac,tensys_strict,checks,stabs_strict,tenlong_strict,tenshort_strict,xconst,target
9329,Kenya,Africa,1,0,0,1,0,0,0,0,3.912023005428146,0.0,1.6094379124341003,Presidential,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,Kenya,290.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.595588207244873,0.3504483699798584,0.7903122901916504,0.6535861492156982,24.0,3.0,0.0,3.0,3.0,7,0
7820,Mauritania,Africa,1,1,1,0,1,0,0,1,3.912023005428146,0.0,1.0986122886681098,Presidential,7.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,Mauritania,147.0,0.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.5102040767669678,1.0,0.7222639918327332,0.0,7.0,1.0,0.0,7.0,3.0,2,0
7352,Georgia,Europe,1,0,0,0,1,0,1,0,6.907755278982137,0.0,0.6931471805599453,Presidential,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,Georgia,150.0,0.0,1.0,0.0,7.0,7.0,2.0,0.0,1.0,0.5497000122070312,0.4034000015258789,0.5666666626930237,1.0,0.49440717697143555,0.0,21.0,2.0,0.0,3.0,3.0,6,0
3111,United Kingdom,Europe,0,1,0,0,0,0,0,0,3.912023005428146,0.0,3.044522437723423,Parliamentary,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,United Kingdom,650.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.5908000183105468,0.4093000030517578,0.5569230914115906,0.7346692681312561,0.6212707757949829,0.26606571674346924,86.0,4.0,0.0,6.0,6.0,7,0
8621,Nigeria,Africa,0,0,0,0,1,0,0,0,4.605170185988092,0.0,3.7612001156935624,Presidential,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,Nigeria,360.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5760869383811951,1.0,0.5244935750961304,0.0,17.0,4.0,0.5,1.0,1.0,6,0
13372,India,Asia,1,0,0,0,1,0,0,0,9.210340371976184,3.784189633918261,1.0986122886681098,Parliamentary,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,India,543.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.3679999923706055,0.3639999771118164,0.8246913552284241,0.7186417579650879,0.5002375841140747,0.28220316767692566,67.0,4.0,0.0,2.0,2.0,7,0
4724,Germany,Europe,1,0,0,0,1,0,0,0,8.160518247477505,0.6931471805599453,3.5553480614894135,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
13133,Korea,Asia,1,0,0,0,1,0,0,0,8.160232492367689,3.6888794541139363,0.0,Presidential,4.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,Korea,300.0,0.0,1.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.5233333110809326,0.9383342266082764,0.5637680888175964,0.06206108257174492,35.0,2.0,0.0,4.0,4.0,6,0
121,Cuba,North America,0,0,0,0,1,0,1,0,4.30406509320417,0.0,3.332204510175204,Assembly-Elected President,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,Cuba,621.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,10.0,3,0
4725,Germany,Europe,0,0,0,0,1,0,0,0,6.907755278982137,0.0,3.58351893845611,Parliamentary,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Germany,631.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.6727000427246094,0.17040000915527342,0.7987321615219116,0.527407705783844,0.6442935466766357,0.4735318124294281,68.0,6.0,0.0,11.0,3.0,7,0
